actor_id,actor_name
1,Robert Downey Jr.
2,Chris Evans
3,Mark Ruffalo
4,Joseph Quinn
5,Pedro Pascal
6,Vanessa Kirby
9,Scarlett Johansson
11,Chris Hemsworth
16,Patrick Macnee
17,Diana Rigg
18,Honor Blackman
19,Casper Van Dien
20,Lauren Parkinson
21,Lou Ferrigno
25,Nicolas Cage
26,Hope Davis
27,Nicholas Hoult
28,David Lynch
29,Laura Dern
30,Emily Stofle
31,Al&apos;Jaleel McGhee
32,Amber Stonebraker
33,Alan Burrell
34,Park Min-young
35,Song Kang
36,Yoon Park
38,Seo Kang-joon
39,Moon Jeong-Hee
40,Tricia O&apos;Kelley
41,Patrick J. Adams
42,Ryan Devlin
43,Lena Horne
44,Bill Robinson
45,Cab Calloway and His Cotton Club Orchestra
46,Holly Hunter
47,Carrie Coon
48,Kim Coates
49,Kotaro Daigo
50,Nana Mori
51,Tsubasa Honda
52,Tia Arntsen
53,Harald Døsen
54,Rakel Håpoldøy
55,Robert Pattinson
56,Zoë Kravitz
57,Jeffrey Wright
58,Michael Keaton
59,Jack Nicholson
60,Kim Basinger
61,Christian Bale
62,Michael Caine
63,Ken Watanabe
64,Adam West
65,Burt Ward
66,Alan Napier
68,Danny DeVito
69,Michelle Pfeiffer
70,Kevin Conroy
71,Loren Lester
72,Efrem Zimbalist Jr.
73,Val Kilmer
74,Tommy Lee Jones
75,Jim Carrey
76,Arnold Schwarzenegger
77,George Clooney
78,Chris O&apos;Donnell
79,Tobey Maguire
80,Kirsten Dunst
81,Willem Dafoe
82,Shameik Moore
83,Hailee Steinfeld
84,Brian Tyree Henry
85,Tom Holland
86,Zendaya
87,Benedict Cumberbatch
89,Jake Johnson
96,Topher Grace
102,Alfred Molina
104,Jeff Daniels
105,Lauren Holly
106,Paul Dano
107,Pete Davidson
108,Vincent D&apos;Onofrio
111,Rob Riggle
112,Derek Richardson
113,Eric Christian Olsen
114,Eugene Levy
115,Misty Lovelace
116,Peelmanm Michael
117,Bill Zebub
118,Colin Farrell
121,Bill Fagerbakke
122,Matt Frewer
123,Tom Kenny
124,Bat-Chen Sabag
125,Shani Klein
126,Moshe Ashkenazi
127,Patrick Swayze
128,Demi Moore
129,Whoopi Goldberg
130,Jennifer Love Hewitt
131,David Conrad
132,Camryn Manheim
133,Rose McIver
134,Utkarsh Ambudkar
135,Brandon Scott Jones
137,Eva Mendes
138,Sam Elliott
140,Pilou Asbæk
141,Takeshi Kitano
142,Atsuko Tanaka
143,Iemasa Kayumi
144,Akio Ôtsuka
145,Julianna Margulies
146,Gabriel Byrne
147,Ron Eldard
148,Steve Buscemi
149,Thora Birch
151,Ryan Reynolds
152,Hugh Jackman
153,Emma Corrin
155,Morena Baccarin
156,T.J. Miller
158,Josh Brolin
160,Damian Vargas
161,Amanda Evans
162,Andrea-Nichole Olivas
167,Stan Lee
168,Nolan North
169,Fred Tatasciore
170,Keith Ferguson
