movie_id,genre_id
1,1
1,2
1,3
2,1
2,2
2,6
3,1
3,6
4,1
4,2
4,6
5,1
5,2
5,6
6,1
6,16
6,17
7,1
7,2
7,20
8,1
8,2
8,6
9,16
9,3
10,16
10,27
11,16
11,3
11,30
12,3
12,30
13,3
13,30
14,16
15,16
15,3
15,38
16,3
17,40
17,3
17,20
18,43
19,1
19,17
19,3
20,1
20,2
21,1
21,17
21,3
22,1
22,17
22,20
23,1
23,17
23,20
24,40
24,1
24,2
25,1
25,2
26,1
26,6
27,1
27,2
27,6
28,40
28,1
28,2
29,1
29,2
29,20
30,40
30,1
30,2
31,1
31,2
31,6
32,1
32,2
32,6
33,40
33,1
33,2
34,1
34,2
34,6
35,16
36,90
36,16
36,3
37,16
38,16
39,95
40,2
40,97
40,20
41,40
41,43
41,2
42,1
42,17
42,3
43,3
43,20
43,30
44,3
44,20
45,16
45,20
46,1
46,20
46,114
47,1
47,17
47,3
48,40
48,1
48,17
49,95
49,122
49,114
50,16
50,3
51,1
51,2
51,16
52,1
52,16
53,1
53,2
53,16
54,1
54,16
54,20
55,1
55,2
55,16
56,43
56,16
56,17
57,40
57,1
57,2
58,1
58,2
58,16
